,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound,text_len,text_word_count,punct,tokenized,nonstop,stemmed
11,RT @blsanthosh: #COVAXIN vaccine approved for children aged 2 - 18 ... Another milestone in handling #COVID19 ... Well done scientists .,covaxin vaccine approved for children aged 2   18     another milestone in handling  covid19     well done scientists,-0.1,0.4,positive,0,0.726,0.274,0.5994,121,16,covaxin vaccine approved for children aged         another milestone in handling  covid     well done scientists,"['', 'covaxin', 'vaccine', 'approved', 'for', 'children', 'aged', 'another', 'milestone', 'in', 'handling', 'covid', 'well', 'done', 'scientists', '']","['', 'covaxin', 'vaccine', 'approved', 'children', 'aged', 'another', 'milestone', 'handling', 'covid', 'well', 'done', 'scientists', '']","['', 'covaxin', 'vaccin', 'approv', 'children', 'age', 'anoth', 'mileston', 'handl', 'covid', 'well', 'done', 'scientist', '']"
12,"RT @chanda_mahua: Thank God 
#CovaxinForKids 
#Covaxin 
#Covaxinapproval 
#DCGI",thank god   covaxinforkids   covaxin   covaxinapproval   dcgi,0,0,positive,0,0.465,0.535,0.5574,62,6,thank god   covaxinforkids   covaxin   covaxinapproval   dcgi,"['', 'thank', 'god', 'covaxinforkids', 'covaxin', 'covaxinapproval', 'dcgi']","['', 'thank', 'god', 'covaxinforkids', 'covaxin', 'covaxinapproval', 'dcgi']","['', 'thank', 'god', 'covaxinforkid', 'covaxin', 'covaxinapprov', 'dcgi']"
13,"RT @Sunil_Deodhar: Congratulations to our Scientific Community As Bharat’s 🇮🇳 #COVAXIN gets approval for children aged 02-18 Years.💐💪

Proo…",congratulations to our scientific community as bharat s     covaxin gets approval for children aged 02 18 years     proo,-0.1,0.4,positive,0,0.682,0.318,0.7906,122,18,congratulations to our scientific community as bharat s     covaxin gets approval for children aged   years     proo,"['', 'congratulations', 'to', 'our', 'scientific', 'community', 'as', 'bharat', 's', 'covaxin', 'gets', 'approval', 'for', 'children', 'aged', 'years', 'proo', '']","['', 'congratulations', 'scientific', 'community', 'bharat', 'covaxin', 'gets', 'approval', 'children', 'aged', 'years', 'proo', '']","['', 'congratul', 'scientif', 'commun', 'bharat', 'covaxin', 'get', 'approv', 'children', 'age', 'year', 'proo', '']"
14,"RT @ashishsood_bjp: The #MadeInIndia Covid Vaccine #Covaxin has been approved for children between 2-18.thanks @narendramodi ji

#ModiHaiTo…",the  madeinindia covid vaccine  covaxin has been approved for children between 2 18 thanks   ji   modihaito,0.2,0.2,positive,0,0.695,0.305,0.6908,109,16,the  madeinindia covid vaccine  covaxin has been approved for children between   thanks   ji   modihaito,"['', 'the', 'madeinindia', 'covid', 'vaccine', 'covaxin', 'has', 'been', 'approved', 'for', 'children', 'between', 'thanks', 'ji', 'modihaito', '']","['', 'madeinindia', 'covid', 'vaccine', 'covaxin', 'approved', 'children', 'thanks', 'ji', 'modihaito', '']","['', 'madeinindia', 'covid', 'vaccin', 'covaxin', 'approv', 'children', 'thank', 'ji', 'modihaito', '']"
15,"RT @Sunil_Deodhar: Congratulations to our Scientific Community As Bharat’s 🇮🇳 #COVAXIN gets approval for children aged 02-18 Years.💐💪

Proo…",congratulations to our scientific community as bharat s     covaxin gets approval for children aged 02 18 years     proo,-0.1,0.4,positive,0,0.682,0.318,0.7906,122,18,congratulations to our scientific community as bharat s     covaxin gets approval for children aged   years     proo,"['', 'congratulations', 'to', 'our', 'scientific', 'community', 'as', 'bharat', 's', 'covaxin', 'gets', 'approval', 'for', 'children', 'aged', 'years', 'proo', '']","['', 'congratulations', 'scientific', 'community', 'bharat', 'covaxin', 'gets', 'approval', 'children', 'aged', 'years', 'proo', '']","['', 'congratul', 'scientif', 'commun', 'bharat', 'covaxin', 'get', 'approv', 'children', 'age', 'year', 'proo', '']"
16,"RT @Dharma2X: Bharat Biotech's #Covaxin gets emergency approval for kids aged 2-18 years | hmtv 🍀🌟

Dr. @Swamy39 jee.. Thanks for your kind…",bharat biotech s  covaxin gets emergency approval for kids aged 2 18 years   hmtv     dr    jee   thanks for your kind,0.233333333,0.5,positive,0.1,0.538,0.362,0.7783,120,20,bharat biotech s  covaxin gets emergency approval for kids aged   years   hmtv     dr    jee   thanks for your kind,"['', 'bharat', 'biotech', 's', 'covaxin', 'gets', 'emergency', 'approval', 'for', 'kids', 'aged', 'years', 'hmtv', 'dr', 'jee', 'thanks', 'for', 'your', 'kind', '']","['', 'bharat', 'biotech', 'covaxin', 'gets', 'emergency', 'approval', 'kids', 'aged', 'years', 'hmtv', 'dr', 'jee', 'thanks', 'kind', '']","['', 'bharat', 'biotech', 'covaxin', 'get', 'emerg', 'approv', 'kid', 'age', 'year', 'hmtv', 'dr', 'jee', 'thank', 'kind', '']"
17,RT @RShivshankar: Big feather in the 'Make In India' cap. Indigenous vaccine manufacturer Bharat Biotech takes India a step closer to acqui…,big feather in the  make in india  cap  indigenous vaccine manufacturer bharat biotech takes india a step closer to acqui,0,0.1,neutral,0,1,0,0,123,20,big feather in the  make in india  cap  indigenous vaccine manufacturer bharat biotech takes india a step closer to acqui,"['', 'big', 'feather', 'in', 'the', 'make', 'in', 'india', 'cap', 'indigenous', 'vaccine', 'manufacturer', 'bharat', 'biotech', 'takes', 'india', 'a', 'step', 'closer', 'to', 'acqui', '']","['', 'big', 'feather', 'make', 'india', 'cap', 'indigenous', 'vaccine', 'manufacturer', 'bharat', 'biotech', 'takes', 'india', 'step', 'closer', 'acqui', '']","['', 'big', 'feather', 'make', 'india', 'cap', 'indigen', 'vaccin', 'manufactur', 'bharat', 'biotech', 'take', 'india', 'step', 'closer', 'acqui', '']"
18,"RT @Jinalpatel007: #COVAXIN vaccine approved for children aged 2 - 18
Another milestone in handling #COVID19 ... 
Well done scientists .",covaxin vaccine approved for children aged 2   18 another milestone in handling  covid19      well done scientists,-0.1,0.4,positive,0,0.726,0.274,0.5994,118,16,covaxin vaccine approved for children aged     another milestone in handling  covid      well done scientists,"['', 'covaxin', 'vaccine', 'approved', 'for', 'children', 'aged', 'another', 'milestone', 'in', 'handling', 'covid', 'well', 'done', 'scientists', '']","['', 'covaxin', 'vaccine', 'approved', 'children', 'aged', 'another', 'milestone', 'handling', 'covid', 'well', 'done', 'scientists', '']","['', 'covaxin', 'vaccin', 'approv', 'children', 'age', 'anoth', 'mileston', 'handl', 'covid', 'well', 'done', 'scientist', '']"
19,RT @business_today: India’s drug regulator #DGCI approves @BharatBiotech’s #Covaxin for emergency use in minors aged 2-18. @CDSCO_INDIA_INF…,india s drug regulator  dgci approves   s  covaxin for emergency use in minors aged 2 18    india inf,-0.1,0.4,positive,0.142,0.71,0.148,0.0258,103,18,india s drug regulator  dgci approves   s  covaxin for emergency use in minors aged      india inf,"['', 'india', 's', 'drug', 'regulator', 'dgci', 'approves', 's', 'covaxin', 'for', 'emergency', 'use', 'in', 'minors', 'aged', 'india', 'inf', '']","['', 'india', 'drug', 'regulator', 'dgci', 'approves', 'covaxin', 'emergency', 'use', 'minors', 'aged', 'india', 'inf', '']","['', 'india', 'drug', 'regul', 'dgci', 'approv', 'covaxin', 'emerg', 'use', 'minor', 'age', 'india', 'inf', '']"
20,RT @business_today: India’s drug regulator #DGCI approves @BharatBiotech’s #Covaxin for emergency use in minors aged 2-18. @CDSCO_INDIA_INF…,india s drug regulator  dgci approves   s  covaxin for emergency use in minors aged 2 18    india inf,-0.1,0.4,positive,0.142,0.71,0.148,0.0258,103,18,india s drug regulator  dgci approves   s  covaxin for emergency use in minors aged      india inf,"['', 'india', 's', 'drug', 'regulator', 'dgci', 'approves', 's', 'covaxin', 'for', 'emergency', 'use', 'in', 'minors', 'aged', 'india', 'inf', '']","['', 'india', 'drug', 'regulator', 'dgci', 'approves', 'covaxin', 'emergency', 'use', 'minors', 'aged', 'india', 'inf', '']","['', 'india', 'drug', 'regul', 'dgci', 'approv', 'covaxin', 'emerg', 'use', 'minor', 'age', 'india', 'inf', '']"
21,RT @blsanthosh: #COVAXIN vaccine approved for children aged 2 - 18 ... Another milestone in handling #COVID19 ... Well done scientists .,covaxin vaccine approved for children aged 2   18     another milestone in handling  covid19     well done scientists,-0.1,0.4,positive,0,0.726,0.274,0.5994,121,16,covaxin vaccine approved for children aged         another milestone in handling  covid     well done scientists,"['', 'covaxin', 'vaccine', 'approved', 'for', 'children', 'aged', 'another', 'milestone', 'in', 'handling', 'covid', 'well', 'done', 'scientists', '']","['', 'covaxin', 'vaccine', 'approved', 'children', 'aged', 'another', 'milestone', 'handling', 'covid', 'well', 'done', 'scientists', '']","['', 'covaxin', 'vaccin', 'approv', 'children', 'age', 'anoth', 'mileston', 'handl', 'covid', 'well', 'done', 'scientist', '']"
22,RT @bluechips333: @DrTedros So why are you delaying approving every vaccine you know scientifically to be effective? Such as #Covaxin ! It’…,so why are you delaying approving every vaccine you know scientifically to be effective  such as  covaxin   it,0.3,0.65,positive,0,0.846,0.154,0.4767,115,18,so why are you delaying approving every vaccine you know scientifically to be effective  such as  covaxin   it,"['', 'so', 'why', 'are', 'you', 'delaying', 'approving', 'every', 'vaccine', 'you', 'know', 'scientifically', 'to', 'be', 'effective', 'such', 'as', 'covaxin', 'it', '']","['', 'delaying', 'approving', 'every', 'vaccine', 'know', 'scientifically', 'effective', 'covaxin', '']","['', 'delay', 'approv', 'everi', 'vaccin', 'know', 'scientif', 'effect', 'covaxin', '']"
23,RT @IndiaToday: Made in India vaccine is now available for kids as Covaxin gets approval for kids aged 2-18. @milan_reports | #ITVideo #Cov…,made in india vaccine is now available for kids as covaxin gets approval for kids aged 2 18    reports    itvideo  cov,0.15,0.4,positive,0,0.86,0.14,0.4767,120,21,made in india vaccine is now available for kids as covaxin gets approval for kids aged      reports    itvideo  cov,"['', 'made', 'in', 'india', 'vaccine', 'is', 'now', 'available', 'for', 'kids', 'as', 'covaxin', 'gets', 'approval', 'for', 'kids', 'aged', 'reports', 'itvideo', 'cov', '']","['', 'made', 'india', 'vaccine', 'available', 'kids', 'covaxin', 'gets', 'approval', 'kids', 'aged', 'reports', 'itvideo', 'cov', '']","['', 'made', 'india', 'vaccin', 'avail', 'kid', 'covaxin', 'get', 'approv', 'kid', 'age', 'report', 'itvideo', 'cov', '']"
24,RT @ShillingOut: @JoeBiden BRING #Covaxin to the U.S. if you mean what you say. $OCGN #Covaxinapproval,bring  covaxin to the u s  if you mean what you say   ocgn  covaxinapproval,-0.3125,0.6875,neutral,0,1,0,0,78,14,bring  covaxin to the u s  if you mean what you say   ocgn  covaxinapproval,"['', 'bring', 'covaxin', 'to', 'the', 'u', 's', 'if', 'you', 'mean', 'what', 'you', 'say', 'ocgn', 'covaxinapproval']","['', 'bring', 'covaxin', 'u', 'mean', 'say', 'ocgn', 'covaxinapproval']","['', 'bring', 'covaxin', 'u', 'mean', 'say', 'ocgn', 'covaxinapprov']"
25,RT @business_today: India’s drug regulator #DGCI approves @BharatBiotech’s #Covaxin for emergency use in minors aged 2-18. @CDSCO_INDIA_INF…,india s drug regulator  dgci approves   s  covaxin for emergency use in minors aged 2 18    india inf,-0.1,0.4,positive,0.142,0.71,0.148,0.0258,103,18,india s drug regulator  dgci approves   s  covaxin for emergency use in minors aged      india inf,"['', 'india', 's', 'drug', 'regulator', 'dgci', 'approves', 's', 'covaxin', 'for', 'emergency', 'use', 'in', 'minors', 'aged', 'india', 'inf', '']","['', 'india', 'drug', 'regulator', 'dgci', 'approves', 'covaxin', 'emergency', 'use', 'minors', 'aged', 'india', 'inf', '']","['', 'india', 'drug', 'regul', 'dgci', 'approv', 'covaxin', 'emerg', 'use', 'minor', 'age', 'india', 'inf', '']"
26,RT @CNBCTV18Live: .@BharatBiotech releases a statement after the Subject Expert Committee on #COVID19 recommends the emergency use of #Cova…,releases a statement after the subject expert committee on  covid19 recommends the emergency use of  cova,-0.166666667,0.333333333,negative,0.149,0.743,0.109,-0.1779,110,16,releases a statement after the subject expert committee on  covid recommends the emergency use of  cova,"['', 'releases', 'a', 'statement', 'after', 'the', 'subject', 'expert', 'committee', 'on', 'covid', 'recommends', 'the', 'emergency', 'use', 'of', 'cova', '']","['', 'releases', 'statement', 'subject', 'expert', 'committee', 'covid', 'recommends', 'emergency', 'use', 'cova', '']","['', 'releas', 'statement', 'subject', 'expert', 'committe', 'covid', 'recommend', 'emerg', 'use', 'cova', '']"
27,RT @Tomasso81290948: @DrTedros @WHO Boosters are for milking the money by Pfizer and Moderna which you strongly support. Delaying Covaxin a…,boosters are for milking the money by pfizer and moderna which you strongly support  delaying covaxin a,0.433333333,0.733333333,positive,0,0.745,0.255,0.5859,109,17,boosters are for milking the money by pfizer and moderna which you strongly support  delaying covaxin a,"['', 'boosters', 'are', 'for', 'milking', 'the', 'money', 'by', 'pfizer', 'and', 'moderna', 'which', 'you', 'strongly', 'support', 'delaying', 'covaxin', 'a', '']","['', 'boosters', 'milking', 'money', 'pfizer', 'moderna', 'strongly', 'support', 'delaying', 'covaxin', '']","['', 'booster', 'milk', 'money', 'pfizer', 'moderna', 'strongli', 'support', 'delay', 'covaxin', '']"
28,RT @RShivshankar: Big feather in the 'Make In India' cap. Indigenous vaccine manufacturer Bharat Biotech takes India a step closer to acqui…,big feather in the  make in india  cap  indigenous vaccine manufacturer bharat biotech takes india a step closer to acqui,0,0.1,neutral,0,1,0,0,123,20,big feather in the  make in india  cap  indigenous vaccine manufacturer bharat biotech takes india a step closer to acqui,"['', 'big', 'feather', 'in', 'the', 'make', 'in', 'india', 'cap', 'indigenous', 'vaccine', 'manufacturer', 'bharat', 'biotech', 'takes', 'india', 'a', 'step', 'closer', 'to', 'acqui', '']","['', 'big', 'feather', 'make', 'india', 'cap', 'indigenous', 'vaccine', 'manufacturer', 'bharat', 'biotech', 'takes', 'india', 'step', 'closer', 'acqui', '']","['', 'big', 'feather', 'make', 'india', 'cap', 'indigen', 'vaccin', 'manufactur', 'bharat', 'biotech', 'take', 'india', 'step', 'closer', 'acqui', '']"
29,$OCGN #ocugen #ocgn Bharat #covaxin fully approved for EUA in children 2-18 !  Woot Woot https://t.co/9dEePE3BUH,ocgn  ocugen  ocgn bharat  covaxin fully approved for eua in children 2 18    woot woot,0,0,positive,0,0.559,0.441,0.8268,90,15,ocgn  ocugen  ocgn bharat  covaxin fully approved for eua in children      woot woot,"['', 'ocgn', 'ocugen', 'ocgn', 'bharat', 'covaxin', 'fully', 'approved', 'for', 'eua', 'in', 'children', 'woot', 'woot', '']","['', 'ocgn', 'ocugen', 'ocgn', 'bharat', 'covaxin', 'fully', 'approved', 'eua', 'children', 'woot', 'woot', '']","['', 'ocgn', 'ocugen', 'ocgn', 'bharat', 'covaxin', 'fulli', 'approv', 'eua', 'children', 'woot', 'woot', '']"
30,"RT @SharmaKhemchand: Congratulations India!

Bharat’s 🇮🇳 #COVAXIN gets approval for children aged 02-18 Years.💐💪

Modi Govt cares for all a…",congratulations india   bharat s     covaxin gets approval for children aged 02 18 years     modi govt cares for all a,-0.1,0.4,positive,0,0.583,0.417,0.875,120,19,congratulations india   bharat s     covaxin gets approval for children aged   years     modi govt cares for all a,"['', 'congratulations', 'india', 'bharat', 's', 'covaxin', 'gets', 'approval', 'for', 'children', 'aged', 'years', 'modi', 'govt', 'cares', 'for', 'all', 'a', '']","['', 'congratulations', 'india', 'bharat', 'covaxin', 'gets', 'approval', 'children', 'aged', 'years', 'modi', 'govt', 'cares', '']","['', 'congratul', 'india', 'bharat', 'covaxin', 'get', 'approv', 'children', 'age', 'year', 'modi', 'govt', 'care', '']"
31,"RT @Dharma2X: Bharat Biotech's #Covaxin gets emergency approval for kids aged 2-18 years | hmtv 🍀🌟

Dr. @Swamy39 jee.. Thanks for your kind…",bharat biotech s  covaxin gets emergency approval for kids aged 2 18 years   hmtv     dr    jee   thanks for your kind,0.233333333,0.5,positive,0.1,0.538,0.362,0.7783,120,20,bharat biotech s  covaxin gets emergency approval for kids aged   years   hmtv     dr    jee   thanks for your kind,"['', 'bharat', 'biotech', 's', 'covaxin', 'gets', 'emergency', 'approval', 'for', 'kids', 'aged', 'years', 'hmtv', 'dr', 'jee', 'thanks', 'for', 'your', 'kind', '']","['', 'bharat', 'biotech', 'covaxin', 'gets', 'emergency', 'approval', 'kids', 'aged', 'years', 'hmtv', 'dr', 'jee', 'thanks', 'kind', '']","['', 'bharat', 'biotech', 'covaxin', 'get', 'emerg', 'approv', 'kid', 'age', 'year', 'hmtv', 'dr', 'jee', 'thank', 'kind', '']"
32,RT @business_today: India’s drug regulator #DGCI approves @BharatBiotech’s #Covaxin for emergency use in minors aged 2-18. @CDSCO_INDIA_INF…,india s drug regulator  dgci approves   s  covaxin for emergency use in minors aged 2 18    india inf,-0.1,0.4,positive,0.142,0.71,0.148,0.0258,103,18,india s drug regulator  dgci approves   s  covaxin for emergency use in minors aged      india inf,"['', 'india', 's', 'drug', 'regulator', 'dgci', 'approves', 's', 'covaxin', 'for', 'emergency', 'use', 'in', 'minors', 'aged', 'india', 'inf', '']","['', 'india', 'drug', 'regulator', 'dgci', 'approves', 'covaxin', 'emergency', 'use', 'minors', 'aged', 'india', 'inf', '']","['', 'india', 'drug', 'regul', 'dgci', 'approv', 'covaxin', 'emerg', 'use', 'minor', 'age', 'india', 'inf', '']"
33,India’s drug regulator #DGCI approves @BharatBiotech’s #Covaxin for emergency use in minors aged 2-18.… https://t.co/RPQJYANYdZ,india s drug regulator  dgci approves   s  covaxin for emergency use in minors aged 2 18,-0.1,0.4,positive,0.16,0.675,0.166,0.0258,92,16,india s drug regulator  dgci approves   s  covaxin for emergency use in minors aged,"['india', 's', 'drug', 'regulator', 'dgci', 'approves', 's', 'covaxin', 'for', 'emergency', 'use', 'in', 'minors', 'aged', '']","['india', 'drug', 'regulator', 'dgci', 'approves', 'covaxin', 'emergency', 'use', 'minors', 'aged', '']","['india', 'drug', 'regul', 'dgci', 'approv', 'covaxin', 'emerg', 'use', 'minor', 'age', '']"
34,"RT @Scimitar_SS: Famous film producer &amp; distributer suddenly passes away at 40

Almost certainly sacrificed his life at the altar of weapon…",famous film producer  amp  distributer suddenly passes away at 40  almost certainly sacrificed his life at the altar of weapon,0.238095238,0.69047619,negative,0.099,0.807,0.094,-0.024,128,20,famous film producer  amp  distributer suddenly passes away at   almost certainly sacrificed his life at the altar of weapon,"['', 'famous', 'film', 'producer', 'amp', 'distributer', 'suddenly', 'passes', 'away', 'at', 'almost', 'certainly', 'sacrificed', 'his', 'life', 'at', 'the', 'altar', 'of', 'weapon', '']","['', 'famous', 'film', 'producer', 'amp', 'distributer', 'suddenly', 'passes', 'away', 'almost', 'certainly', 'sacrificed', 'life', 'altar', 'weapon', '']","['', 'famou', 'film', 'produc', 'amp', 'distribut', 'suddenli', 'pass', 'away', 'almost', 'certainli', 'sacrif', 'life', 'altar', 'weapon', '']"
